DateTime	Tweet Id	Text	Username
2022-05-27 14:04:16+00:00	1530188137288310790	"“I would not call myself a journalist, I’m an entertainer.” - @elleduncanESPN breaks down some of the differences between analysts, journalists, &amp; reporters while debunking the idea that ‘journalism is dead’. #MoCo 
@ReneeMontgomery @MontgomeryCoPod 
🎙 https://t.co/BUlNSjoWrX https://t.co/OBQEfDxPvI"	LeBatardShow
2022-05-27 13:55:34+00:00	1530185950923472899	I don’t expect the Heat to win again. I also don’t make long-term assessments on 2-game samples. Or the last half, which is the difference in this series. Miami is broken. Boston, too. Lowry/Butler/Herro ain’t this. This ain’t the team that made it here. Or the sport, even. - Dan	LeBatardShow
2022-05-27 13:49:49+00:00	1530184502206775296	"It's time for a little game of Refran Del Dia with Papi and @_lulank as well as evil cat @billygil 🐈

🎙https://t.co/MnFJ7e6w1e https://t.co/ZnzaFAQixS"	LeBatardShow
2022-05-27 13:45:59+00:00	1530183539836207106	"Polls of the Week (feauturing Papi)🏁
Presented by @AdvanceAuto🏁

🎙https://t.co/MnFJ7e6w1e https://t.co/k5z8oTAQ3U"	LeBatardShow
2022-05-27 12:42:26+00:00	1530167545663213570	"“How is it ok?…Every parent in America just has to live with the fact it may be the last time that they ever see they’re child again.” - an emotional @BillyCorben opens up and speaks out against gun violence on this week’s episode of #BecauseMiami.
🎙 https://t.co/BVlc1CD7ef https://t.co/4dU329tJ12"	LeBatardShow
2022-05-27 12:20:32+00:00	1530162034779856897	"It's a jam-packed episode of #MysteryCrate as Chris, Jess, Jeremy, &amp; Billy chat about insecurities, old accents, deleting Twitter, &amp; Americans traveling abroad. Plus, Ryan Cortes joins the crew to discuss his wardrobe, #HEATCulture , &amp; beef with Billy.
🎙 https://t.co/qwUqyo9X68 https://t.co/ILKGUSggzF"	LeBatardShow
2022-05-27 03:50:57+00:00	1530033791338692624	The fans are throwing stuff at Chuck 👀 https://t.co/C9VMnd4qPu	LeBatardShow
2022-05-27 03:46:29+00:00	1530032669727277061	6 Finals in 8 years ✨ #DubNation https://t.co/H9yCrhOpcZ	LeBatardShow
2022-05-27 02:08:00+00:00	1530007882749575174	@jga41agher https://t.co/bGmFd6kRb0	LeBatardShow
2022-05-26 23:11:15+00:00	1529963403732738065	"“The whole point of the NCAA taking over women’s sports was so that they could institute ways to not comply with Title IX.” - @katefagan3 on 90% non-compliance with @hbryant42 &amp; @DarthAmin on #TheMeadowlarkers🪶
📺 https://t.co/bAOaR5juOT
🎙 https://t.co/x5etSYaqHs https://t.co/NLPm5Noka3"	LeBatardShow
2022-05-26 18:26:02+00:00	1529891628298686464	"""They will live with that even though he's a good pull-up jump shooter"" – @realStanVG brought expert analysis in pointing out an important change Celtics coach Ime Udoka made that caused Jimmy Butler to shoot just 5 free throws in the last two games. 

📺 https://t.co/wsRgG8oKKp https://t.co/bvo4gWY8nN"	LeBatardShow
2022-05-26 18:20:18+00:00	1529890182580908040	"You heard it here first: @realStanVG says Marcus Smart (alleged DPOY) is tied for 5th-best defender on the Celtics. Fifth. 

📺 https://t.co/wsRgG8oKKp https://t.co/VeYjXV0xdB"	LeBatardShow
2022-05-26 18:16:32+00:00	1529889235951669248	"""I don't think he's afraid, I think he's just small."" – @realStanVG on why Bam Adebayo has struggled against Robert Williams and Al Horford. 

📺 https://t.co/wsRgG8oKKp https://t.co/LKaihv5vDs"	LeBatardShow
